Date,Close_CL=F,High_CL=F,Low_CL=F,Open_CL=F,Volume_CL=F,Adj Close_,GDP,CPI,UNRATE
2010-02-01,74.43000030517578,74.98999786376953,72.48999786376953,72.83999633789062,277411,74.43000030517578,,217.281,9.8
2010-03-01,78.69999694824219,80.62000274658203,78.05999755859375,79.83999633789062,298718,78.69999694824219,,217.353,9.9
2010-04-01,84.87000274658203,85.22000122070312,83.20999908447266,83.36000061035156,295387,84.87000274658203,14980.193,217.403,9.9
2010-06-01,72.58000183105469,75.33000183105469,71.63999938964844,73.97000122070312,438588,72.58000183105469,,217.199,9.4
2010-07-01,72.94999694824219,75.4000015258789,72.05000305175781,75.37000274658203,405081,72.94999694824219,15141.607,217.605,9.4
2010-09-01,73.91000366210938,74.4800033569336,71.66999816894531,71.69999694824219,396607,73.91000366210938,,218.275,9.5
2010-10-01,81.58000183105469,81.69000244140625,79.69999694824219,79.83999633789062,359944,81.58000183105469,15309.474,219.035,9.4
2010-11-01,82.94999694824219,83.86000061035156,81.31999969482422,81.44999694824219,358535,82.94999694824219,,219.59,9.8
2010-12-01,86.75,86.94999694824219,83.62999725341797,83.66000366210938,340736,86.75,,220.472,9.3
2011-02-01,90.7699966430664,92.44999694824219,90.44000244140625,92.19999694824219,392882,90.7699966430664,,221.898,9.0
2011-03-01,99.62999725341797,100.68000030517578,96.37000274658203,96.97000122070312,322429,99.62999725341797,,223.046,9.0
2011-04-01,107.94000244140625,108.2300033569336,106.30000305175781,106.62000274658203,283710,107.94000244140625,15557.539,224.093,9.1
2011-06-01,100.29000091552734,103.30999755859375,99.86000061035156,102.68000030517578,376476,100.29000091552734,,224.806,9.1
2011-07-01,94.94000244140625,95.38999938964844,93.44999694824219,95.12000274658203,263626,94.94000244140625,15647.68,225.395,9.0
2011-08-01,94.88999938964844,98.5999984741211,93.41999816894531,96.19999694824219,398857,94.88999938964844,,226.106,9.0
